id,食品名,エネルギー,たんぱく質,脂質,炭水化物
1782,＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身つき　生,221,18.8,16.5,0.2
1783,＜畜肉類＞　ぶた　［大型種肉］　そともも　皮下脂肪なし　生,175,20.2,10.7,0.2
1784,＜畜肉類＞　ぶた　［大型種肉］　そともも　赤肉　生,133,21.4,5.5,0.2
1785,＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身　生,631,6.6,68.1,0
1786,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　生,118,22.2,3.7,0.3
1787,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　焼き,202,39.3,5.9,0.4
1788,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　とんかつ,379,25.1,25.3,14.9
1789,＜畜肉類＞　ぶた　［中型種肉］　かた　脂身つき　生,224,18.3,17.2,0
1790,＜畜肉類＞　ぶた　［中型種肉］　かた　皮下脂肪なし　生,172,19.7,10.8,0
1791,＜畜肉類＞　ぶた　［中型種肉］　かた　赤肉　生,113,21.4,3.5,0
1792,＜畜肉類＞　ぶた　［中型種肉］　かた　脂身　生,698,4.9,75.7,0
1793,＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身つき　生,241,17.7,19.3,0
1794,＜畜肉類＞　ぶた　［中型種肉］　かたロース　皮下脂肪なし　生,212,18.5,15.7,0
1795,＜畜肉類＞　ぶた　［中型種肉］　かたロース　赤肉　生,140,20.6,6.8,0
1796,＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身　生,663,5.4,71.9,0
1797,＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身つき　生,275,18.3,22.6,0.2
1798,＜畜肉類＞　ぶた　［中型種肉］　ロース　皮下脂肪なし　生,203,20.6,13.6,0.2
1799,＜畜肉類＞　ぶた　［中型種肉］　ロース　赤肉　生,131,22.9,4.6,0.2
1800,＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身　生,716,4.1,78.3,0
1801,＜畜肉類＞　ぶた　［中型種肉］　ばら　脂身つき　生,398,13.4,40.1,0
1802,＜畜肉類＞　ぶた　［中型種肉］　もも　脂身つき　生,211,19.5,15.1,0.2
1803,＜畜肉類＞　ぶた　［中型種肉］　もも　皮下脂肪なし　生,153,21.3,7.8,0.2
1804,＜畜肉類＞　ぶた　［中型種肉］　もも　赤肉　生,133,21.9,5.3,0.2
1805,＜畜肉類＞　ぶた　［中型種肉］　もも　脂身　生,672,5.2,73.8,0
1806,＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身つき　生,252,18,20.3,0.2
1807,＜畜肉類＞　ぶた　［中型種肉］　そともも　皮下脂肪なし　生,159,21,8.5,0.2
1808,＜畜肉類＞　ぶた　［中型種肉］　そともも　赤肉　生,129,21.9,4.8,0.2
1809,＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身　生,660,4.9,72.5,0
1810,＜畜肉類＞　ぶた　［中型種肉］　ヒレ　赤肉　生,105,22.7,1.7,0.1
1811,＜畜肉類＞　ぶた　［ひき肉］　生,209,17.7,17.2,0.1
1812,＜畜肉類＞　ぶた　［ひき肉］　焼き,289,25.7,21.5,0.1
1813,＜畜肉類＞　ぶた　［副生物］　舌　生,205,15.9,16.3,0.1
1814,＜畜肉類＞　ぶた　［副生物］　心臓　生,118,16.2,7,0.1
1815,＜畜肉類＞　ぶた　［副生物］　肝臓　生,114,20.4,3.4,2.5
1816,＜畜肉類＞　ぶた　［副生物］　じん臓　生,96,14.1,5.8,Tr
1817,＜畜肉類＞　ぶた　［副生物］　胃　ゆで,111,17.4,5.1,0
1818,＜畜肉類＞　ぶた　［副生物］　小腸　ゆで,159,14,11.9,0
1819,＜畜肉類＞　ぶた　［副生物］　大腸　ゆで,166,11.7,13.8,0
1820,＜畜肉類＞　ぶた　［副生物］　子宮　生,64,14.6,0.9,0
1821,＜畜肉類＞　ぶた　［副生物］　豚足　ゆで,227,20.1,16.8,Tr
1822,＜畜肉類＞　ぶた　［副生物］　軟骨　ゆで,229,17.8,17.9,0
1823,＜畜肉類＞　ぶた　［ハム類］　骨付きハム,208,16.7,16.6,0.8
1824,＜畜肉類＞　ぶた　［ハム類］　ボンレスハム,115,18.7,4,1.8
1825,＜畜肉類＞　ぶた　［ハム類］　ロースハム　ロースハム,211,18.6,14.5,2
1826,＜畜肉類＞　ぶた　［ハム類］　ロースハム　ゆで,233,19.7,16.6,1.6
1827,＜畜肉類＞　ぶた　［ハム類］　ロースハム　焼き,240,23.6,15.1,2.4
1828,＜畜肉類＞　ぶた　［ハム類］　ロースハム　フライ,432,17.3,32.3,20
1829,＜畜肉類＞　ぶた　［ハム類］　ショルダーハム,221,16.1,18.2,0.6
1830,＜畜肉類＞　ぶた　［ハム類］　生ハム　促成,243,24,16.6,0.5
1831,＜畜肉類＞　ぶた　［ハム類］　生ハム　長期熟成,253,25.7,18.4,0
1832,＜畜肉類＞　ぶた　［プレスハム類］　プレスハム,113,15.4,4.5,3.9
1833,＜畜肉類＞　ぶた　［プレスハム類］　チョップドハム,132,11.7,4.2,12.7
1834,＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン,400,12.9,39.1,0.3
1835,＜畜肉類＞　ぶた　［ベーコン類］　ロースベーコン,202,16.8,14.6,3.2
1836,＜畜肉類＞　ぶた　［ベーコン類］　ショルダーベーコン,178,17.2,11.9,2.5
1837,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　ウインナーソーセージ,319,11.5,30.6,3.3
1838,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　ゆで,328,12.1,32,1.4
1839,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　焼き,345,13,31.8,2.4
1840,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　フライ,376,12.8,34.9,4.2
1841,＜畜肉類＞　ぶた　［ソーセージ類］　セミドライソーセージ,335,16.9,29.7,2.9
1842,＜畜肉類＞　ぶた　［ソーセージ類］　ドライソーセージ,467,26.7,42,2.6
1843,＜畜肉類＞　ぶた　［ソーセージ類］　フランクフルトソーセージ,295,12.7,24.7,6.2
1844,＜畜肉類＞　ぶた　［ソーセージ類］　ボロニアソーセージ,242,12.5,21,2.9
1845,＜畜肉類＞　ぶた　［ソーセージ類］　リオナソーセージ,188,14.9,13.1,3.7
1846,＜畜肉類＞　ぶた　［ソーセージ類］　レバーソーセージ,324,14.7,33.5,1.9
1847,＜畜肉類＞　ぶた　［ソーセージ類］　混合ソーセージ,231,11.8,22.7,4.7
1848,＜畜肉類＞　ぶた　［ソーセージ類］　生ソーセージ,269,14,24.4,0.8
1849,＜畜肉類＞　ぶた　［その他］　焼き豚,166,19.4,8.2,5.1
1850,＜畜肉類＞　ぶた　［その他］　レバーペースト,370,12.9,34.7,3.6
1851,＜畜肉類＞　ぶた　［その他］　スモークレバー,182,29.6,7.7,2.6
1852,＜畜肉類＞　ぶた　［その他］　ゼラチン,347,87.6,0.3,0
1853,＜畜肉類＞　めんよう　［マトン］　ロース　脂身つき　生,192,19.3,15,0.2
1854,＜畜肉類＞　めんよう　［マトン］　ロース　脂身つき　焼き,305,25.8,24.9,0.2
1855,＜畜肉類＞　めんよう　［マトン］　ロース　皮下脂肪なし　生,139,22.2,7.4,0
1856,＜畜肉類＞　めんよう　［マトン］　もも　脂身つき　生,205,18.8,15.3,0.1
1857,＜畜肉類＞　めんよう　［ラム］　かた　脂身つき　生,214,17.1,17.1,0.1
1858,＜畜肉類＞　めんよう　［ラム］　ロース　脂身つき　生,287,15.6,25.9,0.2
1859,＜畜肉類＞　めんよう　［ラム］　ロース　脂身つき　焼き,358,21.8,31.4,0.2
1860,＜畜肉類＞　めんよう　［ラム］　ロース　皮下脂肪なし　生,128,22.3,5.2,0
1861,＜畜肉類＞　めんよう　［ラム］　もも　脂身つき　生,164,20,12,0.3
1862,＜畜肉類＞　めんよう　［ラム］　もも　脂身つき　焼き,267,28.6,20.3,0.3
1863,＜畜肉類＞　めんよう　混合プレスハム,100,14.4,4.1,3
1864,＜畜肉類＞　やぎ　肉　赤肉　生,99,21.9,1.5,0.2
1865,＜鳥肉類＞　うずら　肉　皮つき　生,194,20.5,12.9,0.1
1866,＜鳥肉類＞　がちょう　フォアグラ　ゆで,470,8.3,49.9,1.5
1867,＜鳥肉類＞　かも　まがも　肉　皮なし　生,118,23.6,3,0.1
1868,＜鳥肉類＞　かも　あいがも　肉　皮つき　生,304,14.2,29,0.1
1869,＜鳥肉類＞　かも　あひる　肉　皮つき　生,237,14.9,19.8,0.1
1870,＜鳥肉類＞　かも　あひる　肉　皮なし　生,94,20.1,2.2,0.2
1871,＜鳥肉類＞　かも　あひる　皮　生,448,7.3,45.8,0
1872,＜鳥肉類＞　きじ　肉　皮なし　生,101,23,1.1,0.1
1873,＜鳥肉類＞　しちめんちょう　肉　皮なし　生,99,23.5,0.7,0.1
1874,＜鳥肉類＞　すずめ　肉　骨・皮つき　生,114,18.1,5.9,0.1
1875,＜鳥肉類＞　にわとり　［親・主品目］　手羽　皮つき　生,182,23,10.4,0
1876,＜鳥肉類＞　にわとり　［親・主品目］　むね　皮つき　生,229,19.5,17.2,0
1877,＜鳥肉類＞　にわとり　［親・主品目］　むね　皮なし　生,113,24.4,1.9,0
1878,＜鳥肉類＞　にわとり　［親・主品目］　もも　皮つき　生,234,17.3,19.1,0
1879,＜鳥肉類＞　にわとり　［親・主品目］　もも　皮なし　生,128,22,4.8,0
1880,＜鳥肉類＞　にわとり　［親・副品目］　ささみ　生,107,24.6,1.1,0
1881,＜鳥肉類＞　にわとり　［若どり・主品目］　手羽　皮つき　生,189,17.8,14.3,0
1882,＜鳥肉類＞　にわとり　［若どり・主品目］　手羽さき　皮つき　生,207,17.4,16.2,0
1883,＜鳥肉類＞　にわとり　［若どり・主品目］　手羽もと　皮つき　生,175,18.2,12.8,0
